zip,county_fips,county_name
93721,06019,Fresno County
93722,06019,Fresno County
93723,06019,Fresno County
93725,06019,Fresno County
93726,06019,Fresno County
93727,06019,Fresno County
93728,06019,Fresno County
93730,06019,Fresno County
93737,06019,Fresno County
93740,06019,Fresno County
93741,06019,Fresno County
93901,06053,Monterey County
93905,06053,Monterey County
93906,06053,Monterey County
93907,06053,Monterey County
93908,06053,Monterey County
93920,06053,Monterey County
93921,06053,Monterey County
93923,06053,Monterey County
93924,06053,Monterey County
93925,06053,Monterey County
93926,06053,Monterey County
93927,06053,Monterey County
93928,06053,Monterey County
93930,06053,Monterey County
93932,06053,Monterey County
93933,06053,Monterey County
93940,06053,Monterey County
93943,06053,Monterey County
93944,06053,Monterey County
93950,06053,Monterey County
93953,06053,Monterey County
93954,06053,Monterey County
93955,06053,Monterey County
93960,06053,Monterey County
93962,06053,Monterey County
94002,06081,San Mateo County
94005,06081,San Mateo County
94010,06081,San Mateo County
94014,06081,San Mateo County
94015,06081,San Mateo County
94018,06081,San Mateo County
94019,06081,San Mateo County
94020,06081,San Mateo County
94021,06081,San Mateo County
94022,06085,Santa Clara County
94024,06085,Santa Clara County
94025,06081,San Mateo County
94027,06081,San Mateo County
94028,06081,San Mateo County
94030,06081,San Mateo County
94037,06081,San Mateo County
94038,06081,San Mateo County
94040,06085,Santa Clara County
94041,06085,Santa Clara County
94043,06085,Santa Clara County
94044,06081,San Mateo County
94060,06081,San Mateo County
94061,06081,San Mateo County
94062,06081,San Mateo County
94063,06081,San Mateo County
94065,06081,San Mateo County
94066,06081,San Mateo County
94070,06081,San Mateo County
94074,06081,San Mateo County
94080,06081,San Mateo County
94085,06085,Santa Clara County
94086,06085,Santa Clara County
94087,06085,Santa Clara County
94089,06085,Santa Clara County
94102,06075,San Francisco County
94103,06075,San Francisco County
94104,06075,San Francisco County
94105,06075,San Francisco County
94107,06075,San Francisco County
94108,06075,San Francisco County
94109,06075,San Francisco County
94110,06075,San Francisco County
94111,06075,San Francisco County
94112,06075,San Francisco County
94114,06075,San Francisco County
94115,06075,San Francisco County
94116,06075,San Francisco County
94117,06075,San Francisco County
94118,06075,San Francisco County
94121,06075,San Francisco County
94122,06075,San Francisco County
94123,06075,San Francisco County
94124,06075,San Francisco County
94127,06075,San Francisco County
94128,06081,San Mateo County
94129,06075,San Francisco County
94130,06075,San Francisco County
94131,06075,San Francisco County
94132,06075,San Francisco County
94133,06075,San Francisco County
94134,06075,San Francisco County
94158,06075,San Francisco County
94188,06075,San Francisco County
94301,06085,Santa Clara County
94303,06085,Santa Clara County
94304,06085,Santa Clara County
94305,06085,Santa Clara County
94306,06085,Santa Clara County
94401,06081,San Mateo County
94402,06081,San Mateo County
94403,06081,San Mateo County
94404,06081,San Mateo County
94501,06001,Alameda County
94502,06001,Alameda County
94503,06055,Napa County
94505,06013,Contra Costa County
94506,06013,Contra Costa County
94507,06013,Contra Costa County
94508,06055,Napa County
94509,06013,Contra Costa County
94510,06095,Solano County
94511,06013,Contra Costa County
94512,06095,Solano County
94513,06013,Contra Costa County
94514,06013,Contra Costa County
94515,06097,Sonoma County
94516,06013,Contra Costa County
94517,06013,Contra Costa County
94518,06013,Contra Costa County
94519,06013,Contra Costa County
94520,06013,Contra Costa County
94521,06013,Contra Costa County
94523,06013,Contra Costa County
94525,06013,Contra Costa County
94526,06013,Contra Costa County
94528,06013,Contra Costa County
94530,06013,Contra Costa County
94531,06013,Contra Costa County
94533,06095,Solano County
94534,06095,Solano County
94535,06095,Solano County
94536,06001,Alameda County
